date,shot,fuel,oxidizer,diluent,t_0,u_t_0,p_0_nom,p_0,u_p_0,phi_nom,phi,u_phi,dil_mf_nom,dil_mf,u_dil_mf,wave_speed,u_wave_speed,t_ad,cj_speed,sound_speed
2019-10-22,17,C3H8,air,None,291.5796251138276,4.92829768914898,101325.0,102362.72281217703,13.204298434824583,1.0,1.00106357066206,0.0045263648391319885,0.0,0.0,0.0,1751.7241379310344,7.118712739652,2263.4427060737285,1801.0152764887207,994.0137752829258
2019-10-22,18,C3H8,air,None,291.03198639705226,4.929033508992138,101325.0,102473.69334634284,13.204300501292417,1.0,0.9950712603347548,0.004520347621800646,0.0,0.0,0.0,1792.9411764705883,7.45765214206581,2260.20045148633,1799.3884013581253,993.186242628828
2019-10-22,21,C3H8,air,None,288.6541476671752,4.932459544930191,101325.0,102323.98439734333,13.20429771378919,1.0,0.9714015677373538,0.004522546330610349,0.0,0.0,0.0,1674.7252747252746,6.506646144961602,2243.881521824118,1792.490014610323,989.7764206250213
2019-10-22,22,C3H8,air,None,288.13757031787156,4.933651462480651,101325.0,102318.73643850356,13.20429761613088,1.0,0.9690658946510445,0.00452234280243745,0.0,0.0,0.0,1712.3595505617977,6.802365449618293,2241.873048528174,1791.799879440576,989.4312813497793
2019-10-22,23,C3H8,air,None,287.5801550483124,4.934362315416786,101325.0,102337.78241973379,13.204297970592153,1.0,0.9976569434103739,0.004526832356019019,0.0,0.0,0.0,1772.093023255814,7.285226707196556,2259.9118674065976,1800.3967987468243,993.4491711053713
2019-10-22,24,C3H8,air,None,287.1707768735863,4.934981008866905,101325.0,102412.3713289998,13.204299359171547,1.0,1.0128444954521618,0.0045263670750988775,0.0,0.0,0.0,1761.849710982659,7.201247850102023,2266.312874324027,1804.616338137276,995.5287700838726
2019-11-18,0,C3H8,air,None,283.804383546874,0.011291782145069264,101325.0,101471.70516052148,2.6909714768714252,1.0,1.0242689021846876,0.0009257981626983247,0.0,3.6830135070907673e-06,3.458080813371814e-05,1795.959595959596,2.137938062357459,2267.871531099595,1807.7226831910289,996.8851583352268
2019-11-19,0,C3H8,air,None,283.3348577664778,0.011915125662302272,101325.0,101382.6282405522,2.9010387147646677,1.0,1.0413603594920546,0.0009421898222644765,0.0,6.118448680590467e-06,3.5669204571264815e-05,1740.2936378466559,2.007460738299237,2269.9784328796477,1811.9245927698857,999.1357632330369
2019-11-20,0,C3H8,air,None,280.6927695047779,0.010452243964668963,101325.0,101425.09374967664,2.693877885512463,1.0,1.038198349632893,0.0009082466517598546,0.0,-2.7556212941974763e-06,3.392967478543279e-05,1811.2054329371817,2.174389887524692,2268.5515263615066,1811.4155911379496,998.6667747989898
2020-03-21,0,C3H8,air,CO2,286.4939626927216,0.015582041246637438,101325.0,101413.32903842416,4.441907958051128,1.0,0.986241038076049,0.001385890666909013,0.01,0.00999267450869299,4.968114013367494e-05,1852.0833333333333,2.2736470213937943,2233.251486293082,1783.04251356092,984.0756491076675
2020-03-21,1,C3H8,air,CO2,286.67993522706246,0.014189102169073483,101325.0,101441.60730095165,6.910883402999183,1.0,0.9968195943261354,0.0013593946516825136,0.01,0.010186949918134321,5.289624809014498e-05,1858.5365853658536,2.2895188546963863,2239.0182370925445,1785.804911481578,985.3932483165323
2020-03-21,2,C3H8,air,CO2,290.8205667881108,0.015055092766076505,101325.0,101432.79193820702,5.9400158712063815,1.0,0.9955105430348598,0.0013489646976911557,0.01,0.010296399574550252,5.168145456131274e-05,1772.093023255814,2.0814933449133015,2240.057909812664,1784.9323178569389,985.2288127455299
2020-03-21,3,C3H8,air,CO2,290.85007349240755,0.014210231611307132,101325.0,101475.10788572456,3.6851801926036813,1.0,1.0032107770081318,0.0013786661662926682,0.01,0.0105957967473948,5.4525424285591704e-05,1766.2251655629138,2.0677314431657634,2243.29640888479,1786.6655371631286,986.056279193816
2020-03-21,4,C3H8,air,CO2,290.6875099882656,0.014170124031139318,101325.0,101411.40281024252,3.6586562064283314,1.0,1.0083353270618647,0.001489733075451586,0.01,0.010522568545953069,5.695472278984593e-05,1871.578947368421,2.3217652021235597,2245.533464612075,1788.1617670775572,986.791940560442
2020-03-21,5,C3H8,air,CO2,290.4748924144646,0.01432884614803116,101325.0,101393.43897249323,3.7088203099306374,1.0,1.0000465401093097,0.0013874036268887817,0.01,0.010297792433809285,5.445434033679764e-05,1757.495881383855,2.0473430900069283,2242.191622528353,1786.2249353215159,985.8301829913709
2020-03-21,7,C3H8,air,CO2,289.99680767013456,0.01433436459518044,101325.0,101441.19309991036,3.7047138101010293,1.0,1.0016311155926227,0.0013702435022541993,0.01,0.01009053489549264,5.3780569761228543e-05,1839.3103448275863,2.2423945129903373,2243.1388278653662,1787.0005163486076,986.1983334037369
2020-03-21,8,C3H8,air,CO2,289.7326829505305,0.014176522106290352,101325.0,101488.71135336823,3.6404026187087886,1.0,1.0031010543488377,0.001503953283272345,0.01,0.010243890253889207,5.5186515030564335e-05,1726.2135922330096,1.975108959295484,2243.4097835469342,1787.2219057904117,986.2831387866943
2020-03-21,9,C3H8,air,CO2,289.57147452030574,0.014352819937138996,101325.0,101363.86965828484,3.6845301140001996,1.0,1.0058235167130145,0.001434506596696419,0.01,0.010447560269228879,5.650992611060407e-05,1766.2251655629138,2.0677314431657634,2244.109055143848,1787.6747303402128,986.4785138611933
2020-03-21,10,C3H8,air,CO2,289.496845417422,0.014415493648589553,101325.0,101390.55002827231,3.8583623147202366,1.0,1.0085715700406843,0.0014748933572958775,0.01,0.010395919764662987,5.69051964402822e-05,1754.6052631578948,2.0406139471789606,2245.3127841601126,1788.4991806571454,986.8896732357738
2020-03-21,11,C3H8,air,CO2,289.2397091629962,0.014431569397674381,101325.0,101422.94675930911,3.793146093228144,1.0,1.0087443763789115,0.0014510523516953443,0.01,0.010298361784493728,5.4508149296334797e-05,1814.2857142857142,2.181792060512846,2245.4584474839867,1788.708652552771,986.9846087368096
2020-03-22,0,C3H8,air,CO2,288.40094616429485,0.014475983215727966,101325.0,101389.81375499727,3.6073505190075963,1.0,1.0068967929244432,0.0014723807089278029,0.01,0.010724490492391837,5.767700008508232e-05,1775.0415973377703,2.088425874153061,2243.4845865787925,1787.6834573685228,986.3916785656002
2020-03-22,1,C3H8,air,CO2,288.4931104397416,0.014515082875292488,101325.0,101358.92858787227,3.707944446626161,1.0,1.0047651995529778,0.0015257208341194995,0.01,0.010525980324323895,6.078129153974656e-05,1823.5897435897436,2.204226792811606,2242.9955125065085,1787.368289147322,986.2494061540638
2020-03-22,2,C3H8,air,CO2,288.24942378636865,0.014542877344197715,101325.0,101364.3204800661,3.6044333178471764,1.0,0.995365614282985,0.0015879660768058185,0.01,0.010553208491387306,5.942294825458299e-05,1808.135593220339,2.1670253207984898,2238.2593629671874,1784.7395689561395,984.9450198860671
2020-03-22,3,C3H8,air,CO2,288.23422410624113,0.014543214983375541,101325.0,101487.31112184134,3.6821574306342053,1.0,0.9854240441219556,0.0016736561586162511,0.01,0.0106326544904192,5.650284107279567e-05,1789.9328859060402,2.123613559552377,2232.3382993836244,1781.7796429062194,983.5301895811721
2020-03-22,4,C3H8,air,CO2,287.9848417594273,0.014160724859919144,101325.0,101438.61656927023,3.7135351970854797,1.0,0.9927800033034091,0.001537444034882958,0.01,0.010591213473662217,5.966009054103387e-05,1820.4778156996588,2.1967102533807976,2236.665367321064,1783.9851389486548,984.5620652434645
2020-03-22,5,C3H8,air,CO2,287.96521795291324,0.01454919858819859,101325.0,101439.06977936067,3.6922700853972925,1.0,0.9905121676091124,0.0015259646368075389,0.01,0.010522983275503208,5.983014900782577e-05,1805.0761421319796,2.159698106023387,2235.4946418259947,1783.429915024712,984.3054569785584
2020-03-22,6,C3H8,air,CO2,287.80484088216264,0.01431986707452216,101325.0,101442.3814542983,3.678706428383238,1.0,0.9867618061034149,0.001515830953408186,0.01,0.010094158628949568,5.986270030557687e-05,1792.9411764705883,2.1307577548759458,2234.0050435701805,1782.9490049697745,984.1078642664936
2020-03-22,7,C3H8,air,CO2,287.69801919240535,0.014166943902180516,101325.0,101358.39588120636,3.67255848396344,1.0,0.9950911222299356,0.001676859735318806,0.01,0.009995129065268107,6.114500366834838e-05,1829.8456260720411,2.219376073276719,2238.9347167325755,1785.4835297524733,985.3955017656642
2020-03-22,8,C3H8,air,CO2,287.655807584753,0.01455609238421166,101325.0,101435.48219785339,3.858941341333516,1.0,0.997101747274171,0.00170558679174453,0.01,0.009739875844704796,6.302974021967914e-05,1754.6052631578948,2.0406139471789606,2240.487763165486,1786.4229819117663,985.7946174643841
2020-03-22,9,C3H8,air,CO2,287.51446414643607,0.013812113505582452,101325.0,101395.15229997472,3.725135972233626,1.0,0.9879076768324452,0.0015496652853149336,0.01,0.00985554466211738,5.9369609337352575e-05,1858.5365853658536,2.2895188546963863,2235.021164434929,1783.6323780622713,984.4331633029024
2020-03-22,10,C3H8,air,CO2,287.4298646779976,0.014561134257327385,101325.0,101388.28773087691,3.715391412263253,1.0,0.9912401704293071,0.0017127805489295458,0.01,0.009849659972072341,6.275076002230789e-05,1783.9464882943143,2.1094325403797445,2236.958505468116,1784.6126142579599,984.8984842375862
